petal.lenght,petal.width,variety,grupo
6.6,2.1,Virginica,1
6.3,1.8,Virginica,1
6.7,2.2,Virginica,1
6.9,2.3,Virginica,1
6.7,2,Virginica,1
6.1,1.9,Virginica,1
6.4,2,Virginica,1
6,2.5,Virginica,2
5.9,2.1,Virginica,2
5.8,2.2,Virginica,2
6.1,2.5,Virginica,2
5.7,2.3,Virginica,2
5.7,2.1,Virginica,2
5.6,2.1,Virginica,2
5.6,2.2,Virginica,2
6.1,2.3,Virginica,2
5.6,2.4,Virginica,2
5.6,2.4,Virginica,2
5.9,2.3,Virginica,2
5.7,2.5,Virginica,2
1.4,0.2,Setosa,3
1.4,0.2,Setosa,3
1.3,0.2,Setosa,3
1.5,0.2,Setosa,3
1.4,0.2,Setosa,3
1.4,0.3,Setosa,3
1.5,0.2,Setosa,3
1.4,0.2,Setosa,3
1.5,0.2,Setosa,3
1.3,0.4,Setosa,3
1.4,0.3,Setosa,3
1.5,0.3,Setosa,3
1.5,0.2,Setosa,3
1.4,0.2,Setosa,3
1.4,0.2,Setosa,3
1.5,0.2,Setosa,3
1.3,0.2,Setosa,3
1.3,0.2,Setosa,3
1.5,0.2,Setosa,3
1.3,0.3,Setosa,3
1.3,0.3,Setosa,3
1.3,0.2,Setosa,3
1.4,0.3,Setosa,3
1.4,0.2,Setosa,3
1.5,0.2,Setosa,3
1.4,0.2,Setosa,3
4.7,1.4,Versicolor,4
4.5,1.5,Versicolor,4
4.6,1.5,Versicolor,4
4.7,1.6,Versicolor,4
4.6,1.3,Versicolor,4
4.7,1.4,Versicolor,4
4.5,1.5,Versicolor,4
4.5,1.5,Versicolor,4
4.7,1.2,Versicolor,4
4.5,1.5,Versicolor,4
4.5,1.5,Versicolor,4
4.5,1.6,Versicolor,4
4.7,1.5,Versicolor,4
4.6,1.4,Versicolor,4
4.5,1.7,Virginica,4
4,1.3,Versicolor,5
3.9,1.4,Versicolor,5
4,1,Versicolor,5
4.1,1,Versicolor,5
3.9,1.1,Versicolor,5
4,1.3,Versicolor,5
3.8,1.1,Versicolor,5
3.9,1.2,Versicolor,5
4.1,1.3,Versicolor,5
4,1.3,Versicolor,5
4,1.2,Versicolor,5
4.1,1.3,Versicolor,5
1.5,0.1,Setosa,6
1.4,0.1,Setosa,6
1.5,0.1,Setosa,6
1.4,0.1,Setosa,6
4.8,1.8,Versicolor,7
5,1.7,Versicolor,7
5.1,1.9,Virginica,7
5.1,2,Virginica,7
5,2,Virginica,7
4.9,2,Virginica,7
4.9,1.8,Virginica,7
4.8,1.8,Virginica,7
4.9,1.8,Virginica,7
4.8,1.8,Virginica,7
5.1,1.9,Virginica,7
5,1.9,Virginica,7
5.1,1.8,Virginica,7
5.3,1.9,Virginica,8
5.5,2.1,Virginica,8
5.1,2.4,Virginica,8
5.3,2.3,Virginica,8
5.4,2.1,Virginica,8
5.1,2.3,Virginica,8
5.2,2.3,Virginica,8
5.2,2,Virginica,8
5.4,2.3,Virginica,8
1.1,0.1,Setosa,9
1.2,0.2,Setosa,9
1,0.2,Setosa,9
1.2,0.2,Setosa,9
4.9,1.5,Versicolor,10
4.9,1.5,Versicolor,10
4.8,1.4,Versicolor,10
5.1,1.6,Versicolor,10
5,1.5,Virginica,10
5.1,1.5,Virginica,10
1.7,0.4,Setosa,11
1.5,0.4,Setosa,11
1.5,0.4,Setosa,11
1.7,0.5,Setosa,11
1.6,0.4,Setosa,11
1.5,0.4,Setosa,11
1.6,0.6,Setosa,11
4.5,1.3,Versicolor,12
4.2,1.5,Versicolor,12
4.4,1.4,Versicolor,12
4.3,1.3,Versicolor,12
4.4,1.4,Versicolor,12
4.4,1.3,Versicolor,12
4.4,1.2,Versicolor,12
4.2,1.3,Versicolor,12
4.2,1.2,Versicolor,12
4.2,1.3,Versicolor,12
4.3,1.3,Versicolor,12
1.6,0.2,Setosa,13
1.7,0.3,Setosa,13
1.7,0.2,Setosa,13
1.9,0.2,Setosa,13
1.6,0.2,Setosa,13
1.6,0.2,Setosa,13
1.6,0.2,Setosa,13
1.9,0.4,Setosa,13
1.6,0.2,Setosa,13
5.6,1.8,Virginica,14
5.8,1.8,Virginica,14
5.5,1.8,Virginica,14
6,1.8,Virginica,14
5.8,1.6,Virginica,14
5.6,1.4,Virginica,14
5.5,1.8,Virginica,14
3.3,1,Versicolor,15
3.5,1,Versicolor,15
3.6,1.3,Versicolor,15
3.5,1,Versicolor,15
3.7,1,Versicolor,15
3.3,1,Versicolor,15
3,1.1,Versicolor,15
